date,event,impact
2024-09-15,Comedy Showcase at Ulsoor Lake,high
2024-09-17,Innovation Meetup in HSR Layout,low
2024-09-18,Dance Festival in MG Road,medium
2024-09-19,Music Drive near Bangalore Palace,high
2024-09-24,Music Exhibit near Bangalore Palace,high
2024-09-27,Wellness Drive near Bangalore Palace,high
2024-10-01,Food Night at Cubbon Park,low
2024-10-02,Gandhi Jayanti,high
2024-10-05,Nature Fair in Electronic City,medium
2024-10-09,Food Marathon at Cubbon Park,medium
2024-10-11,Dussehra,high
2024-10-12,Art Expo near Bangalore Palace,medium
2024-10-13,Book Exhibit in MG Road,low
2024-10-14,Book Fair at Whitefield,medium
2024-10-16,Tech Rally in Indiranagar,high
2024-10-25,Film Drive near Bangalore Palace,high
2024-10-27,Comedy Celebration at the Namma Metro Station,low
2024-10-31,Wine Celebration at Lalbagh,medium
2024-11-01,Karnataka Rajyotsava,high
2024-11-02,Wellness Drive near Bangalore Palace,medium
2024-11-04,Dance Gala in Indiranagar,medium
2024-11-06,Film Showcase at Cubbon Park,low
2024-11-10,Tech Meetup at the Namma Metro Station,low
2024-11-11,Art Celebration in MG Road,medium
2024-11-12,Diwali,high
2024-11-25,Wine Meetup in Indiranagar,high
2024-11-26,Wine Meetup in Koramangala,low
2024-11-27,Dance Fair in Electronic City,medium
2024-11-28,Music Festival in Koramangala,low
2024-12-03,Music Night in Indiranagar,high
2024-12-04,Nature Ceremony in HSR Layout,low
2024-12-05,Tech Festival at Ulsoor Lake,high
2024-12-16,Cultural Expo in Indiranagar,low
2024-12-17,Innovation Ceremony at Ulsoor Lake,low
2024-12-20,Book Exhibit at the Namma Metro Station,low
2024-12-22,Dance Fair in Koramangala,low
2024-12-23,Tech Tournament at the Namma Metro Station,low
2024-12-24,History Conference near Bangalore Palace,low
2024-12-25,Christmas Day,high
2024-12-29,Cultural Ceremony at Ulsoor Lake,medium
2024-12-31,Nature Tournament in HSR Layout,low
2025-01-01,Food Parade in Koramangala,medium
2025-01-05,Art Celebration at the Namma Metro Station,medium
2025-01-10,Art Meetup in Koramangala,low
2025-01-13,Book Meetup at the Namma Metro Station,low
2025-01-15,Craft Showcase at Lalbagh,medium
2025-01-24,Cultural Showcase at the Namma Metro Station,medium
2025-01-26,Republic Day,high
2025-02-01,Book Exhibit in Indiranagar,high
2025-02-04,Music Drive at Jayanagar,medium
2025-02-07,Book Conference in Indiranagar,low
2025-02-09,Wine Gala at Jayanagar,low
2025-02-12,History Celebration at Ulsoor Lake,high
2025-02-13,Cultural Festival in MG Road,medium
2025-02-18,Book Conference in Electronic City,low
2025-02-19,Tech Marathon at the Namma Metro Station,medium
2025-02-20,History Gala in MG Road,high
2025-02-25,Community Parade in MG Road,low
2025-02-28,Music Tournament at Ulsoor Lake,low
2025-03-01,Wine Drive at Ulsoor Lake,high
2025-03-02,Wellness Exhibit at the Namma Metro Station,high
2025-03-04,Food Rally in HSR Layout,low
2025-03-05,Innovation Exhibit at Cubbon Park,high
2025-03-07,Maha Shivaratri,high
2025-03-11,Comedy Exhibit in MG Road,low
2025-03-14,Wellness Expo in HSR Layout,medium
2025-03-18,Music Meetup at Ulsoor Lake,high
2025-03-20,History Market near Bangalore Palace,medium
2025-03-24,History Celebration in Koramangala,medium
2025-03-27,Book Festival in HSR Layout,low
2025-03-30,Music Night at Lalbagh,high
2025-04-01,School Summer Vacation,medium
2025-04-02,School Summer Vacation,medium
2025-04-03,School Summer Vacation,medium
2025-04-04,School Summer Vacation,medium
2025-04-05,School Summer Vacation,medium
2025-04-06,School Summer Vacation,medium
2025-04-07,School Summer Vacation,medium
2025-04-08,School Summer Vacation,medium
2025-04-09,School Summer Vacation,medium
2025-04-10,School Summer Vacation,medium
2025-04-11,School Summer Vacation,medium
2025-04-12,School Summer Vacation,medium
2025-04-13,School Summer Vacation,medium
2025-04-14,School Summer Vacation,medium
2025-04-15,School Summer Vacation,medium
2025-04-16,School Summer Vacation,medium
2025-04-17,School Summer Vacation,medium
2025-04-18,School Summer Vacation,medium
2025-04-19,School Summer Vacation,medium
2025-04-20,School Summer Vacation,medium
2025-04-21,School Summer Vacation,medium
2025-04-22,School Summer Vacation,medium
2025-04-23,School Summer Vacation,medium
2025-04-24,School Summer Vacation,medium
2025-04-25,School Summer Vacation,medium
2025-04-26,School Summer Vacation,medium
2025-04-27,School Summer Vacation,medium
